DESCRIZIONE MATRICE (1°livello),DESCRIZIONE MATRICE (2° livello),Data inizio,Data fine,Comune di prelievo,Provincia,Nuclide,Attività specifica,Unità di misura,Column,Column2,* n.r.: non rilevabile (risultato inferiore alla sensibilità analitica),Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-05-31T08:00:00Z,2019-06-07T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-06-07T08:00:00Z,2019-06-14T07:00:00Z,BERGAMO,BG,BE-7,0.0088,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-06-07T08:00:00Z,2019-06-14T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-06-14T08:00:00Z,2019-06-21T07:00:00Z,BERGAMO,BG,BE-7,0.0074,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-06-14T08:00:00Z,2019-06-21T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-06-21T08:00:00Z,2019-06-28T07:00:00Z,BERGAMO,BG,BE-7,0.00618,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-06-21T08:00:00Z,2019-06-28T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-06-28T08:00:00Z,2019-07-01T07:00:00Z,BERGAMO,BG,BE-7,0.0074,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-06-28T08:00:00Z,2019-07-01T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-07-01T08:00:00Z,2019-07-31T07:00:00Z,BERGAMO,BG,BE-7,0.0088,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-01T08:00:00Z,2019-07-05T07:00:00Z,BERGAMO,BG,BE-7,0.0077,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-07-01T08:00:00Z,2019-07-31T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-01T08:00:00Z,2019-07-05T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-05T08:00:00Z,2019-07-12T08:00:00Z,BERGAMO,BG,BE-7,0.0079,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-05T08:00:00Z,2019-07-12T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-12T08:30:00Z,2019-07-19T07:00:00Z,BERGAMO,BG,BE-7,0.00612,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-12T08:30:00Z,2019-07-19T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-19T08:00:00Z,2019-07-26T07:00:00Z,BERGAMO,BG,BE-7,0.0082,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-19T08:00:00Z,2019-07-26T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-26T08:00:00Z,2019-07-31T07:00:00Z,BERGAMO,BG,BE-7,0.00428,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-26T08:00:00Z,2019-07-31T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-07-31T08:00:00Z,2019-08-30T07:00:00Z,BERGAMO,BG,BE-7,0.0073,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-31T08:00:00Z,2019-08-02T07:00:00Z,BERGAMO,BG,BE-7,0.00384,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-07-31T08:00:00Z,2019-08-30T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-07-31T08:00:00Z,2019-08-02T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-02T08:00:00Z,2019-08-09T11:30:00Z,BERGAMO,BG,BE-7,0.00528,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-02T08:00:00Z,2019-08-09T11:30:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-09T11:50:00Z,2019-08-16T07:06:00Z,BERGAMO,BG,BE-7,0.00488,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-09T11:50:00Z,2019-08-16T07:06:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-16T08:00:00Z,2019-08-23T07:00:00Z,BERGAMO,BG,BE-7,0.00538,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-16T08:00:00Z,2019-08-23T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-23T08:00:00Z,2019-08-30T07:00:00Z,BERGAMO,BG,BE-7,0.0071,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-23T08:00:00Z,2019-08-30T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-08-30T08:00:00Z,2019-09-30T07:00:00Z,BERGAMO,BG,BE-7,0.00669,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-30T08:00:00Z,2019-09-06T07:00:00Z,BERGAMO,BG,BE-7,0.00627,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-08-30T08:00:00Z,2019-09-30T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-08-30T08:00:00Z,2019-09-06T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-09-06T08:00:00Z,2019-09-13T07:00:00Z,BERGAMO,BG,BE-7,0.00386,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-09-06T08:00:00Z,2019-09-13T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-09-13T08:00:00Z,2019-09-19T22:00:00Z,BERGAMO,BG,BE-7,0.00629,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-09-13T08:00:00Z,2019-09-19T22:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-09-20T08:00:00Z,2019-09-27T07:00:00Z,BERGAMO,BG,BE-7,0.00411,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-09-20T08:00:00Z,2019-09-27T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-09-27T08:00:00Z,2019-09-30T07:00:00Z,BERGAMO,BG,BE-7,0.00455,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-09-27T08:00:00Z,2019-09-30T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-09-30T07:45:00Z,2019-10-31T08:20:00Z,BERGAMO,BG,BE-7,0.00615,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-09-30T07:45:00Z,2019-10-31T08:20:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-04T08:00:00Z,2019-10-09T07:00:00Z,BERGAMO,BG,BE-7,0.00336,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-04T08:00:00Z,2019-10-09T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-11T08:00:00Z,2019-10-18T07:00:00Z,BERGAMO,BG,BE-7,0.00449,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-11T08:00:00Z,2019-10-18T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-18T08:00:00Z,2019-10-25T07:00:00Z,BERGAMO,BG,BE-7,0.00422,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-18T08:00:00Z,2019-10-25T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-25T08:00:00Z,2019-10-31T08:20:00Z,BERGAMO,BG,BE-7,0.00456,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-25T08:00:00Z,2019-10-31T08:20:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-10-31T09:00:00Z,2019-11-29T08:00:00Z,BERGAMO,BG,BE-7,0.00259,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-10-31T09:00:00Z,2019-11-29T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-31T09:10:00Z,2019-11-07T08:00:00Z,BERGAMO,BG,BE-7,0.00172,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-10-31T09:10:00Z,2019-11-07T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-11-08T09:30:00Z,2019-11-15T08:00:00Z,BERGAMO,BG,BE-7,0.00246,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-11-08T09:30:00Z,2019-11-15T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-11-15T09:00:00Z,2019-11-22T08:00:00Z,BERGAMO,BG,BE-7,0.00193,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-11-15T09:00:00Z,2019-11-22T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-11-22T09:00:00Z,2019-11-29T08:00:00Z,BERGAMO,BG,BE-7,0.0012,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-11-22T09:00:00Z,2019-11-29T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-11-29T09:00:00Z,2019-12-31T09:15:00Z,BERGAMO,BG,BE-7,0.00512,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-11-29T09:00:00Z,2019-12-06T08:00:00Z,BERGAMO,BG,BE-7,0.00323,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-11-29T09:00:00Z,2019-12-31T09:15:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-11-29T09:00:00Z,2019-12-06T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-12-06T09:00:00Z,2019-12-13T08:00:00Z,BERGAMO,BG,BE-7,0.00565,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-12-06T09:00:00Z,2019-12-13T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-12-13T09:00:00Z,2019-12-20T08:00:00Z,BERGAMO,BG,BE-7,0.00382,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-12-13T09:00:00Z,2019-12-20T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-12-20T10:33:00Z,2019-12-27T09:30:00Z,BERGAMO,BG,BE-7,0.00296,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-12-20T10:33:00Z,2019-12-27T09:30:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-12-27T09:45:00Z,2019-12-31T09:15:00Z,BERGAMO,BG,BE-7,0.00333,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-12-27T09:45:00Z,2019-12-31T09:15:00Z,BERGAMO,BG,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2018-12-31T08:30:00Z,2019-02-04T08:30:00Z,MILANO,MI,BE-7,0.00315,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2018-12-31T08:30:00Z,2019-01-07T08:30:00Z,MILANO,MI,BE-7,0.00414,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2018-12-31T08:30:00Z,2019-02-04T08:30:00Z,MILANO,MI,CS-137,2.21E-6,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2018-12-31T08:30:00Z,2019-01-07T08:30:00Z,MILANO,MI,CS-137,2.65E-6,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2018-12-31T08:30:00Z,2019-02-04T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2018-12-31T08:30:00Z,2019-01-07T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-07T08:30:00Z,2019-01-14T08:30:00Z,MILANO,MI,BE-7,0.00179,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-07T08:30:00Z,2019-01-14T08:30:00Z,MILANO,MI,CS-137,2.8E-6,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-07T08:30:00Z,2019-01-14T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-14T08:30:00Z,2019-01-21T08:30:00Z,MILANO,MI,BE-7,0.00221,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-14T08:30:00Z,2019-01-21T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-14T08:30:00Z,2019-01-21T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-21T08:30:00Z,2019-01-28T08:30:00Z,MILANO,MI,BE-7,0.00389,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-21T08:30:00Z,2019-01-28T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-21T08:30:00Z,2019-01-28T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-28T08:30:00Z,2019-02-04T08:30:00Z,MILANO,MI,BE-7,0.00105,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-28T08:30:00Z,2019-02-04T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-01-28T08:30:00Z,2019-02-04T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-02-04T08:30:00Z,2019-03-04T08:30:00Z,MILANO,MI,BE-7,0.00629,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-04T08:30:00Z,2019-02-11T08:30:00Z,MILANO,MI,BE-7,0.00381,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-02-04T08:30:00Z,2019-03-04T08:30:00Z,MILANO,MI,CS-137,1.95E-6,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-04T08:30:00Z,2019-02-11T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-02-04T08:30:00Z,2019-03-04T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-04T08:30:00Z,2019-02-11T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-11T08:30:00Z,2019-02-18T08:30:00Z,MILANO,MI,BE-7,0.0035,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-11T08:30:00Z,2019-02-18T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-11T08:30:00Z,2019-02-18T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-18T08:30:00Z,2019-02-25T08:30:00Z,MILANO,MI,BE-7,0.00685,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-18T08:30:00Z,2019-02-25T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-18T08:30:00Z,2019-02-25T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-25T08:30:00Z,2019-03-04T08:30:00Z,MILANO,MI,BE-7,0.00534,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-25T08:30:00Z,2019-03-04T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-02-25T08:30:00Z,2019-03-04T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-03-04T08:30:00Z,2019-04-01T07:30:00Z,MILANO,MI,BE-7,0.00514,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-04T08:30:00Z,2019-03-11T08:30:00Z,MILANO,MI,BE-7,0.00304,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-03-04T08:30:00Z,2019-04-01T07:30:00Z,MILANO,MI,CS-137,7.2E-7,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-04T08:30:00Z,2019-03-11T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-03-04T08:30:00Z,2019-04-01T07:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-04T08:30:00Z,2019-03-11T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-11T08:30:00Z,2019-03-18T08:30:00Z,MILANO,MI,BE-7,0.00303,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-11T08:30:00Z,2019-03-18T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-11T08:30:00Z,2019-03-18T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-18T08:30:00Z,2019-03-25T08:30:00Z,MILANO,MI,BE-7,0.00502,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-18T08:30:00Z,2019-03-25T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-18T08:30:00Z,2019-03-25T08:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-25T08:30:00Z,2019-04-01T07:30:00Z,MILANO,MI,BE-7,0.00366,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-25T08:30:00Z,2019-04-01T07:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-03-25T08:30:00Z,2019-04-01T07:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-04-01T07:30:00Z,2019-04-29T07:30:00Z,MILANO,MI,BE-7,0.00469,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-01T07:30:00Z,2019-04-08T07:30:00Z,MILANO,MI,BE-7,0.00467,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-04-01T07:30:00Z,2019-04-29T07:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-01T07:30:00Z,2019-04-08T07:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese) - mensile,2019-04-01T07:30:00Z,2019-04-29T07:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-01T07:30:00Z,2019-04-08T07:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-08T07:30:00Z,2019-04-15T07:30:00Z,MILANO,MI,BE-7,0.00242,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-08T07:30:00Z,2019-04-15T07:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-08T07:30:00Z,2019-04-15T07:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-15T07:30:00Z,2019-04-23T07:30:00Z,MILANO,MI,BE-7,0.0038,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-15T07:30:00Z,2019-04-23T07:30:00Z,MILANO,MI,CS-137,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-15T07:30:00Z,2019-04-23T07:30:00Z,MILANO,MI,I-131,n.r.,BQ/M3,,,,,,,,,,,,,,,,
ARIA ESTERNA,PTS (Polveri Totali Sospese),2019-04-23T07:30:00Z,2019-04-29T07:30:00Z,MILANO,MI,BE-7,0.00286,BQ/M3,,,,,,,,,,,,,,,,
