,BACINO IDROGRAFICO,LAGO,CORPO IDRICO,PROVINCIA,COMUNE,COORD X,COORD Y,Codice Stazione,Descrizione Profondità,Profondità,DATA CAMPIONAMENTO,PARAMETRO,CAS,UM,VALORE,ParameterIdentificationSystem
66,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Sodio,7440-23-5,mg-L,4.4,CAS
67,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Solfati,14808-79-8,mg-L-SO4,11.0,CAS
68,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Temperatura acqua,3121-01-5,°C,24.5,WISE
69,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Zinco,7440-66-6,µg-L,lt-20,CAS
70,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Alcalinità,71-52-3,meq-L,2.963,CAS
71,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Arsenico,7440-38-2,µg-L,lt-1,CAS
72,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Azoto ammoniacale,14798-03-9,mg-L-N,0.17,CAS
73,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Azoto nitrico,14797-55-8,mg-L-N,lt-0.25,CAS
74,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Azoto nitroso,14797-65-0,mg-L-N,0.004,CAS
75,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Azoto Totale,17778-88-0,mg-L-N,0.6,CAS
76,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Cadmio,7440-43-9,µg-L,lt-0.04,CAS
77,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Calcio,7440-70-2,mg-L,43.0,CAS
78,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Cloruri,16887-00-6,mg-L-Cl,5.9,CAS
79,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Conducibilità elettrica a 20°C,3142-01-6,µS-cm,292.0,WISE
80,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Cromo totale,7440-47-3,µg-L,lt-2,CAS
81,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Durezza (totale),20001,mg-L-CaCO3,153.0,CAS
82,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Fluoruri,16984-48-8,µg-L,lt-500,CAS
83,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Fosforo Totale,7723-14-0,µg-L-P,17.0,CAS
84,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Magnesio,7439-95-4,mg-L,11.0,CAS
85,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Mercurio,7439-97-6,µg-L,lt-0.03,CAS
86,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Nichel,7440-02-0,µg-L,lt-2,CAS
87,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Ortofosfato,14265-44-2,µg-L-P,lt-4,CAS
88,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Ossigeno % di saturazione,3131-01-9,%-sat.,74.0,WISE
89,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Ossigeno disciolto,7782-44-7,mg-L-O2,7.1,CAS
90,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,pH,12408-02-5,pH,8.0,CAS
91,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Piombo,7439-92-1,µg-L,lt-1,CAS
92,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Potassio,7440-09-7,mg-L,0.8,CAS
93,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Rame,7440-50-8,µg-L,lt-5,CAS
94,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-limite-zona-eufotica,6.0,2019-10-21,Silicati reattivi,1344-09-8,mg-L-SiO2,1.2,CAS
