"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"DATO:
DATI ANALITICI CORPI IDRICI FLUVIALI","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","CORPO IDRICO","PROVINCIA","COMUNE","COORD X","COORD Y","Codice Stazione","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","6/12/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,012"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","6/12/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,72"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","16.000"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,017"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,036"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","0,021"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,401"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,018"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,033"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","8/2/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,015"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,011"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,007"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0042"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002012LO","MI","Legnano","493815","5048417","N008044002012lo1","11/27/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,017"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,013"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,043"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,018"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,012"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,009"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","3/14/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,021"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,008"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0081"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,017"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","4/11/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,019"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,085"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,008"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,022"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,014"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0081"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,015"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","6/12/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,226"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","3,4"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,025"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,066"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,081"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,009"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,064"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","8/2/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,216"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,012"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,032"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,025"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,021"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,085"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","10/2/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,008"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,013"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0027"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,016"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002014LO","MI","PERO","505545","5040248","N008044002014lo1","11/27/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,022"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,009"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,013"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","3/14/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,024"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,146"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,007"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,014"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","0,012"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,021"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0145"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,007"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","6/12/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
