"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"DATO:
LIMeco","FONTE DATI: 
ARPA Lombardia","ANNO DI RIFERIMENTO:
2019","","NOTA:                                           Valutazione annuale provvisoria","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","PROVINCIA","COMUNE","LOCALIZZAZIONE","","TIPO DI MONITORAGGIO","LIMeco",""
"MELLA","Mella (Fiume)","BS","Castel Mella","589634","5038555","sorveglianza","0.430","SUFFICIENTE"
"MELLA","Mandolossa (Roggia)","BS","Castel Mella","588462","5037974","operativo","0.469","SUFFICIENTE"
"MELLA","Valle Pisseri (Torrente)","BS","Collio","603706","5075069","sorveglianza","0.938","ELEVATO"
"MELLA","Gambidolo (Torrente)","BS","Collio","606454","5074770","sorveglianza","0.891","ELEVATO"
"MELLA","Fiume (Vaso)","BS","Flero","591614","5035651","operativo","0.177","SCARSO"
"MELLA","Laorna (Torrente) - Gandovere (Torrente)","BS","Gussago","589384","5045072","operativo","0.305","SCARSO"
"MELLA","Laorna (Torrente) - Gandovere (Torrente)","BS","Provaglio d'Iseo","584386","5052999","sorveglianza","0.625","BUONO"
"MELLA","Lembrio (Torrente)","BS","Lodrino","597299","5062864","operativo","0.562","BUONO"
"MELLA","Mella del Molinorso (Torrente)","BS","Pezzaze","597160","5068441","operativo","0.688","ELEVATO"
"MELLA","Mella (Fiume)","BS","Pralboino","594878","5013478","sorveglianza","0.323","SCARSO"
"MELLA","Faidana (Torrente) - Gobbia (Torrente)","BS","Sarezzo","593672","5055509","operativo","0.344","SUFFICIENTE"
"MELLA","Mella (Fiume)","BS","Villa Carcina","593484","5053850","operativo","0.391","SUFFICIENTE"
"MELLA","Dorgola (Torrente)","BS","Collio","601787","5074662","sorveglianza","0.719","ELEVATO"
"MELLA","Gombiera (Torrente)","BS","Polaveno","588825","5057518","sorveglianza","0.328","SUFFICIENTE"
"MERA","Schiesone (Torrente)","SO","Prata Camportaccio","530810","5127818","sorveglianza","0.938","ELEVATO"
"MERA","Mera (Fiume)","SO","Samolaco","531489","5120813","operativo","0.938","ELEVATO"
"MERA","Mera (Fiume)","SO","Villa di Chiavenna","538589","5130979","operativo","0.938","ELEVATO"
"MINCIO","Redone (Torrente)","BS","Pozzolengo","626220","5027799","operativo","0.391","SUFFICIENTE"
"MINCIO","Gherardo (Canale)","MN","Bagnolo San Vito","648601","4995810","operativo","0.320","SCARSO"
"MINCIO","Osone Vecchio (Cavo)","MN","Castellucchio","630671","5000640","operativo","0.260","SCARSO"
"MINCIO","Seriola Marchionale (Canale)","MN","Ceresara","623251","5014340","operativo","0.326","SCARSO"
"MINCIO","Caldone (Scolo)","MN","Goito","630530","5013292","operativo","0.305","SCARSO"
"MINCIO","Mincio (Fiume)","MN","Goito","631621","5009360","operativo","0.606","BUONO"
"MINCIO","Mincio (Fiume)","MN","Mantova","644951","4998710","sorveglianza","0.438","SUFFICIENTE"
"MINCIO","Mincio (Fiume)","MN","Marmirolo","633911","5018080","operativo","0.725","ELEVATO"
"MINCIO","Redone (Torrente)","MN","Ponti sul Mincio","633459","5028244","operativo","0.304","SCARSO"
"MINCIO","Fossamana (Fosso)","MN","Porto Mantovano","641328","5010637","operativo","0.628","BUONO"
"MINCIO","Caldone (Canale)","MN","Rodigo","631871","5006450","operativo","0.229","SCARSO"
"MINCIO","Mincio (Fiume)","MN","Rodigo","632196","5004203","operativo","0.362","SUFFICIENTE"
"MINCIO","Mincio (Fiume)","MN","Roncoferraro","653720","4994210","operativo","0.495","SUFFICIENTE"
"MINCIO","Mincio (Fiume)","MN","Volta Mantovana","633422","5018873","operativo","0.661","ELEVATO"
"MINCIO","Mincio (Fiume)","VR","Peschiera del Garda","633031","5032255","operativo","0.840","ELEVATO"
"OGLIO SOPRALACUALE","Oglio (Fiume)","BG","Costa Volpino","585793","5075349","operativo","0.677","ELEVATO"
"OGLIO SOPRALACUALE","Gleno (Torrente)","BG","Vilminore di Scalve","584640","5093430","sorveglianza","0.781","ELEVATO"
"OGLIO SOPRALACUALE","Dezzo (Torrente)","BG","Schilpario","589425","5095550","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Dezzo (Torrente)","BS","Angolo Terme","588772","5083206","operativo","0.812","ELEVATO"
"OGLIO SOPRALACUALE","Allione (Torrente)","BS","Berzo Demo","601262","5104676","sorveglianza","0.875","ELEVATO"
"OGLIO SOPRALACUALE","Grigna (Torrente)","BS","Berzo Inferiore","599422","5086652","operativo","0.734","ELEVATO"
"OGLIO SOPRALACUALE","Poja (Torrente)","BS","Cedegolo","604445","5103574","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Poja di Salarno (Torrente)","BS","Cevo","608677","5103087","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Ogliolo di Edolo (Torrente)","BS","Corteno Golgi ","592827","5112874","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Grigna (Torrente)","BS","Esine","596100","5085882","operativo","0.816","ELEVATO"
"OGLIO SOPRALACUALE","Valle del Resio (Torrente)","BS","Esine","595256","5083630","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Re (Torrente)","BS","Gianico","591838","5079840","operativo","-","-"
"OGLIO SOPRALACUALE","Re (Torrente)","BS","Darfo Boario Terme","592554","5080033","operativo","0.859","ELEVATO"
"OGLIO SOPRALACUALE","Ogliolo di Monno (Torrente)","BS","Monno","603046","5118253","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Allione (Torrente)","BS","Paisco Loveno","594023","5100654","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Trobiolo (Torrente)","BS","Piancogno","596527","5087633","operativo","0.573","BUONO"
"OGLIO SOPRALACUALE","Oglio Frigidolfo (Torrente)","BS","Ponte di Legno","616490","5124205","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Oglio Arcanello (Torrente)","BS","Ponte di Legno","617002","5126467","sorveglianza","-","-"
