PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
MILANO,PADERNO DUGNANO,MI166.0005,ex carrozzeria Tagliabue,"VIA MONTE CAMINO, 9",aree industriali dismesse,9.16979433,45.57567656,POINT (9.16979433 45.57567656),alta
VARESE,DAVERIO,VA064.0005,EX CANAZZA - 2R INVESTIMENTI,"VIA CESARE BATTISTI, 61",aree industriali dismesse,8.77102364,45.76729289,POINT (8.77102364 45.76729289),alta
MILANO,PERO,MI170.0014,PENATI Costruzioni Speciali S.r.l.,S.S.33-ANGOLO VIA BUONARROTTI RHO,rilasci accidentali o dolosi di sostanze,9.07849301,45.51507592,POINT (9.07849301 45.51507592),alta
MILANO,COLOGNO MONZESE,MI081.0005,"Ecosesto, Impianto di compostaggio",S.P.113,discariche autorizzate,9.2841805,45.53358596,POINT (9.2841805 45.53358596),bassa
MILANO,ROZZANO,MI189.0051,AREA VIA MONTE ABETONE,VIA MONTE ABETONE,serbatoi carburante per riscaldamento,9.15717731,45.40063652,POINT (9.15717731 45.40063652),alta
SONDRIO,SAMOLACO,SO057.0002,"ENEL - SVERSAMENTO OLIO TRASFORMATORE - SAMOLACO, S. PIETRO",FRAZIONE SAN PIETRO,altri siti non meglio specificati,9.37723445,46.23926057,POINT (9.37723445 46.23926057),bassa
MONZA E DELLA BRIANZA,BRUGHERIO,MB012.0016,BERTUZZI BUILDING S.R.L.,"VIALE EUROPA, 11",aree industriali dismesse,9.305536,45.5581806,POINT (9.305536 45.5581806),alta
MILANO,TREZZANO SUL NAVIGLIO,MI220.0031,"TANGENZIALE OVEST KM 13 + 900 USCITA LORENTEGGIO, sversamento a seguito sinistro",TANGENZIALE OVEST,n.d.,9.07975506,45.4230865,POINT (9.07975506 45.4230865),alta
MILANO,MILANO,MI146.4086,FABRICA IMMOBILIARE S.G.R. (STRALCIO DA EX SIEROTERAPICO) - CASCINA ARGELATI,VIA GIOVANNI SEGANTINI,aree industriali dismesse,9.1730221,45.44926609,POINT (9.1730221 45.44926609),alta
MILANO,MILANO,MI146.0403,Cartiere Binda spa località Conca Fallata,"ALZAIA NAVIGLIO PAVESE, 260",n.d.,9.16909324,45.42570009,POINT (9.16909324 45.42570009),alta
MILANO,OPERA,MI159.0014,COSMOV SPA,"VIA LAMBRO, 30-32-34",aree industriali dismesse,9.20424601,45.36925581,POINT (9.20424601 45.36925581),alta
MILANO,MILANO,MI146.0528,AEM TRASMISSIONE S.p.A.,"VIA ANCONA, 2ANGOLOSOLFERINO",rilasci accidentali o dolosi di sostanze,9.18718233,45.47388799,POINT (9.18718233 45.47388799),alta
MILANO,MILANO,MI146.1027,Area di Via Malipiero,"VIA GIANFRANCO MALIPIERO, 18/20",aree industriali dismesse,9.24613176,45.45254803,POINT (9.24613176 45.45254803),alta
MILANO,MILANO,MI146.2247,Area Via Lecchi,"VIA ANTONIO LECCHI, 16",aree industriali dismesse,9.17401312,45.44434087,POINT (9.17401312 45.44434087),alta
VARESE,BUSTO ARSIZIO,VA026.0105,AREA VIA NINO BIXIO,VIA NINO BIXIO,n.d.,8.8597183,45.61473702,POINT (8.8597183 45.61473702),alta
VARESE,SUMIRAGO,VA124.0003,EX DEPURATORE QUINZANO,LOC.S.PIETRO,rilasci accidentali o dolosi di sostanze,8.76927786,45.7222734,POINT (8.76927786 45.7222734),alta
